Month,demand,income,age,Sale Quantity,Promotion Expenses,Competition Promotion,Open,High,Low,Close,Adj Close,Volume
1,457,41100,48.75,3002666,105,1,37.095798,39.313702,37.095798,39.313702,16.319162,28531559
2,439,54100,28.1,4401553,145,0,40.360199,42.460999,39.251301,42.460999,17.625607,60744659
3,404,47800,46.75,3205279,118,1,40.086899,44.967899,40.086899,44.1245,18.316133,171798476
4,392,19100,40.25,4245349,130,0,45.139702,46.967201,45.139702,45.9753,19.084398,100403390
5,403,18200,35.8,3001940,98,1,46.0769,49.653702,45.7645,49.130402,20.394079,127220830
6,371,19800,41.45,4377766,156,0,49.5756,49.778599,47.685699,48.185501,20.001854,85900614
7,382,51500,31.55,2798343,98,1,48.099602,48.5681,44.3353,45.0616,18.70512,80313065
8,358,39900,48.2,4303668,144,0,45.139702,47.638802,44.069801,47.123402,19.56098,77529229
9,594,13000,36.8,2958185,112,1,47.794998,49.419399,47.498199,48.708698,20.21903,109326695
10,482,31900,43.05,3623386,120,0,48.341702,50.239399,48.341702,49.403801,20.507572,86179340
11,574,51700,29.7,3279115,125,0,49.708401,50.4347,47.959,48.224499,20.018045,68691901
12,704,56700,29.25,2843766,102,1,48.263599,49.817699,47.724701,49.075802,20.371414,64556890
13,486,58800,29.65,4447581,160,0,50.4268,50.747002,49.388199,49.919201,20.721518,73507821
14,509,46500,47.2,3675305,130,0,49.981701,50.747002,48.505699,48.864899,20.283876,98779915
15,537,55000,28.35,3477156,130,0,48.841499,51.293701,48.732201,50.973499,21.159155,109717430
16,407,18200,41.15,3720794,140,0,50.840801,51.8326,50.294102,50.942299,21.146208,84275981
17,523,46400,45.15,3834086,167,1,50.7705,50.809502,49.708401,49.9739,20.744221,62441735
18,363,46300,44.3,3888913,148,1,null,null,null,null,null,null
19,479,22100,46.65,3871342,150,1,51.387402,52.605701,50.4034,52.316799,21.716761,96128353
20,516,53200,29,3679862,129,0,52.465199,53.402302,51.793499,52.847801,21.937181,75126718
21,656,16700,40.2,3358242,120,0,52.238701,52.480801,51.004799,51.2547,21.275887,65248407
22,558,46000,44.8,3361488,122,0,51.668598,52.707298,51.231201,52.176201,21.658396,68555045
23,647,53200,29.2,3670362,135,0,53.558498,54.1833,52.879101,53.129002,22.053905,63708752
24,864,41200,47.3,3123966,110,1,53.4179,53.652199,52.543301,53.3633,22.151167,43353645
25,610,8000,36.5,4634047,165,0,53.730301,54.253601,53.371101,53.7537,22.313219,45500883
26,677,13200,38.95,3772879,129,1,53.277401,54.5816,52.800999,53.667801,22.277563,52458508
27,609,40600,43.7,3187110,120,1,53.9646,54.1833,53.2696,53.4804,22.199772,41171304
28,673,12500,38.35,3093683,112,1,54.511299,55.393799,53.855301,54.73,22.718483,73222462
29,400,56700,29.85,4557363,162,0,54.48,56.822899,53.870899,55.565601,23.065342,69097803
30,443,56900,30.8,3816956,140,1,56.854198,58.4161,56.237202,56.744801,23.554829,52215130
31,503,23900,38.3,4410887,160,0,56.0732,56.369999,54.6675,54.995499,22.828691,32827372
32,688,40500,48.65,3694713,139,0,54.9799,55.354698,53.4258,53.785,22.326212,52014800
33,602,47300,43.3,3822669,141,1,54.6675,55.261002,53.589699,54.378502,22.572577,50427371
34,629,55900,29.7,3689286,136,0,54.308201,55.729599,54.277,55.378201,22.987553,49111228
35,823,57100,28.3,3728654,130,1,55.745201,55.909199,54.355099,54.5816,22.656881,32208061
36,671,6100,37.3,4732677,168,0,54.417599,54.9799,53.3633,53.987999,22.410477,18851087
37,487,56500,29.35,3216483,121,1,52.238701,52.480801,51.004799,51.2547,21.275887,65248407
